signal_id,symbol,signal_timestamp_utc,signal_timestamp_et,direction,confidence,regime_state,entry_model,entry_price,entry_filled,stop_price,stop_filled,target1_price,target2_price,actual_exit_price,outcome_type,holding_time_seconds,pnl_ticks,risk_ticks,r_multiple,mae_ticks,mfe_ticks,max_adverse_time,max_favorable_time,delta_before,delta_after,reclaim_strength,displacement_ticks,absorption_strength,volatility_state,trend_state,timeout_flag
43,ESM6,2026-05-04T19:23:30.969Z,2026-05-04T15:23:30.969000-04:00,SHORT,91.4%,TRENDING,ABSORPTION_RECLAIM,7227.25,7228.00,7232.00,7233.00,7222.50,7217.75,7224.75,TIMEOUT,1800,3.25,5.00,0.650000,3.50,4.75,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,1.25,CONFIRMED,LOW,CONFIRMING,YES
44,ESM6,2026-05-04T19:23:31.325Z,2026-05-04T15:23:31.325000-04:00,SHORT,91.4%,TRENDING,ABSORPTION_RECLAIM,7227.25,7228.00,7232.00,7233.00,7222.50,7217.75,7224.75,TIMEOUT,1800,3.25,5.00,0.650000,3.50,4.75,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,1.25,CONFIRMED,LOW,CONFIRMING,YES
45,ESM6,2026-05-04T19:23:31.657Z,2026-05-04T15:23:31.657000-04:00,SHORT,91.4%,TRENDING,ABSORPTION_RECLAIM,7227.25,7228.00,7232.00,7233.00,7222.50,7217.75,7224.75,TIMEOUT,1800,3.25,5.00,0.650000,3.50,4.75,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,1.25,CONFIRMED,LOW,CONFIRMING,YES
46,ESM6,2026-05-04T19:23:33.201Z,2026-05-04T15:23:33.201000-04:00,SHORT,91.4%,TRENDING,ABSORPTION_RECLAIM,7227.25,7228.00,7232.25,7233.25,7222.25,7217.25,7224.00,TIMEOUT,1800,4.00,5.25,0.761905,3.50,4.75,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,1.25,CONFIRMED,LOW,CONFIRMING,YES
47,ESM6,2026-05-04T19:25:41.975Z,2026-05-04T15:25:41.975000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7226.75,7227.50,7231.50,7232.50,7222.00,7217.25,7225.00,TIMEOUT,1800,2.50,5.00,0.500000,4.00,4.25,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.25,CONFIRMED,LOW,WEAK,YES
48,ESM6,2026-05-04T19:25:42.094Z,2026-05-04T15:25:42.094000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7226.50,7227.25,7231.25,7232.25,7221.75,7217.00,7225.00,TIMEOUT,1800,2.25,5.00,0.450000,4.25,4.00,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.00,CONFIRMED,LOW,WEAK,YES
49,ESM6,2026-05-04T19:25:42.119Z,2026-05-04T15:25:42.119000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7226.50,7227.25,7231.25,7232.25,7221.75,7217.00,7225.00,TIMEOUT,1800,2.25,5.00,0.450000,4.25,4.00,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.00,CONFIRMED,LOW,WEAK,YES
50,ESM6,2026-05-04T19:25:42.138Z,2026-05-04T15:25:42.138000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7226.50,7227.25,7231.25,7232.25,7221.75,7217.00,7225.00,TIMEOUT,1800,2.25,5.00,0.450000,4.25,4.00,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.00,CONFIRMED,LOW,WEAK,YES
51,ESM6,2026-05-04T19:25:43.195Z,2026-05-04T15:25:43.195000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7226.50,7227.25,7231.75,7232.75,7221.25,7216.00,7224.50,TIMEOUT,1800,2.75,5.50,0.500000,4.25,4.00,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.00,CONFIRMED,LOW,WEAK,YES
52,ESM6,2026-05-04T19:25:50.039Z,2026-05-04T15:25:50.039000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7226.50,7227.25,7234.25,7235.25,7218.75,7211.00,7225.25,TIMEOUT,1800,2.00,8.00,0.250000,4.25,4.00,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.00,CONFIRMED,HIGH,WEAK,YES
53,ESM6,2026-05-04T19:25:50.744Z,2026-05-04T15:25:50.744000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7226.75,7227.50,7234.50,7235.50,7219.00,7211.25,7225.25,TIMEOUT,1800,2.25,8.00,0.281250,4.00,4.25,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.25,CONFIRMED,HIGH,WEAK,YES
54,ESM6,2026-05-04T19:25:50.858Z,2026-05-04T15:25:50.858000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7226.75,7227.50,7234.50,7235.50,7219.00,7211.25,7225.25,TIMEOUT,1800,2.25,8.00,0.281250,4.00,4.25,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.25,CONFIRMED,HIGH,WEAK,YES
55,ESM6,2026-05-04T19:25:51.553Z,2026-05-04T15:25:51.553000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7226.25,7227.00,7234.25,7235.25,7218.25,7210.25,7225.00,TIMEOUT,1800,2.00,8.25,0.242424,4.50,3.75,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.00,CONFIRMED,HIGH,WEAK,YES
56,ESM6,2026-05-04T19:25:53.644Z,2026-05-04T15:25:53.644000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7226.75,7227.50,7234.50,7235.50,7219.00,7211.25,7225.25,TIMEOUT,1800,2.25,8.00,0.281250,4.00,4.25,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.25,CONFIRMED,HIGH,WEAK,YES
57,ESM6,2026-05-04T19:25:57.288Z,2026-05-04T15:25:57.288000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7226.75,7227.50,7234.75,7235.75,7218.75,7210.75,7225.50,TIMEOUT,1800,2.00,8.25,0.242424,4.00,4.25,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.25,CONFIRMED,HIGH,WEAK,YES
58,ESM6,2026-05-04T19:26:00.013Z,2026-05-04T15:26:00.013000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7226.50,7227.25,7234.25,7235.25,7218.75,7211.00,7225.50,TIMEOUT,1800,1.75,8.00,0.218750,4.25,4.00,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.00,CONFIRMED,HIGH,WEAK,YES
59,ESM6,2026-05-04T19:26:01.636Z,2026-05-04T15:26:01.636000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7226.75,7227.50,7234.50,7235.50,7219.00,7211.25,7225.00,TIMEOUT,1800,2.50,8.00,0.312500,4.00,4.25,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.25,CONFIRMED,HIGH,WEAK,YES
60,ESM6,2026-05-04T19:26:01.871Z,2026-05-04T15:26:01.871000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7227.00,7227.75,7234.75,7235.75,7219.25,7211.50,7225.00,TIMEOUT,1800,2.75,8.00,0.343750,3.75,4.50,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.75,CONFIRMED,HIGH,CONFIRMING,YES
61,ESM6,2026-05-04T19:26:01.878Z,2026-05-04T15:26:01.878000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7227.00,7227.75,7234.75,7235.75,7219.25,7211.50,7225.00,TIMEOUT,1800,2.75,8.00,0.343750,3.75,4.50,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.75,CONFIRMED,HIGH,CONFIRMING,YES
62,ESM6,2026-05-04T19:26:02.384Z,2026-05-04T15:26:02.384000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7227.00,7227.75,7234.75,7235.75,7219.25,7211.50,7224.75,TIMEOUT,1800,3.00,8.00,0.375000,3.75,4.50,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.75,CONFIRMED,HIGH,CONFIRMING,YES
63,ESM6,2026-05-04T19:26:28.729Z,2026-05-04T15:26:28.729000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7226.50,7227.25,7234.25,7235.25,7218.75,7211.00,7225.50,TIMEOUT,1800,1.75,8.00,0.218750,4.25,4.00,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.00,CONFIRMED,HIGH,WEAK,YES
64,ESM6,2026-05-04T19:26:37.747Z,2026-05-04T15:26:37.747000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7226.50,7227.25,7234.25,7235.25,7218.75,7211.00,7225.75,TIMEOUT,1800,1.50,8.00,0.187500,4.25,4.00,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.00,CONFIRMED,HIGH,WEAK,YES
65,ESM6,2026-05-04T19:26:42.232Z,2026-05-04T15:26:42.232000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7226.75,7227.50,7234.50,7235.50,7219.00,7211.25,7225.50,TIMEOUT,1800,2.00,8.00,0.250000,4.00,4.25,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.25,CONFIRMED,HIGH,WEAK,YES
66,ESM6,2026-05-04T19:26:42.332Z,2026-05-04T15:26:42.332000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7226.75,7227.50,7234.50,7235.50,7219.00,7211.25,7225.50,TIMEOUT,1800,2.00,8.00,0.250000,4.00,4.25,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.25,CONFIRMED,HIGH,WEAK,YES
67,ESM6,2026-05-04T19:26:45.728Z,2026-05-04T15:26:45.728000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7226.75,7227.50,7234.50,7235.50,7219.00,7211.25,7225.75,TIMEOUT,1800,1.75,8.00,0.218750,4.00,4.25,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.25,CONFIRMED,HIGH,WEAK,YES
68,ESM6,2026-05-04T19:26:45.901Z,2026-05-04T15:26:45.901000-04:00,SHORT,91.4%,BALANCE,ABSORPTION_RECLAIM,7227.00,7227.75,7234.75,7235.75,7219.25,7211.50,7225.75,TIMEOUT,1800,2.00,8.00,0.250000,3.75,4.50,180,1800,UNAVAILABLE,UNAVAILABLE,STRONG,0.75,CONFIRMED,HIGH,CONFIRMING,YES
