open_ts,symbol,open,high,low,close,delta,total_vol
2026-05-03T20:51:50+00:00,NQU1.CME@RITHMIC,15427.75,15427.75,15427.25,15427.50,8,24
2026-05-03T20:51:55+00:00,NQU1.CME@RITHMIC,15427.75,15427.75,15427.25,15427.50,-7,23
2026-05-03T20:52:00+00:00,NQU1.CME@RITHMIC,15427.50,15427.75,15427.50,15427.75,3,27
2026-05-03T20:52:05+00:00,NQU1.CME@RITHMIC,15427.75,15427.75,15427.75,15427.75,-1,3
2026-05-03T20:52:10+00:00,NQU1.CME@RITHMIC,15427.75,15427.75,15427.50,15427.75,6,26
2026-05-03T20:52:15+00:00,NQU1.CME@RITHMIC,15427.75,15427.75,15427.25,15427.50,6,18
2026-05-03T20:52:20+00:00,NQU1.CME@RITHMIC,15427.50,15428.00,15427.50,15427.50,3,35
2026-05-03T20:52:25+00:00,NQU1.CME@RITHMIC,15427.50,15427.75,15427.50,15427.50,-3,13
2026-05-03T20:52:30+00:00,NQU1.CME@RITHMIC,15425.75,15427.50,15425.75,15427.50,3,49
2026-05-03T20:52:35+00:00,NQU1.CME@RITHMIC,15433.50,15433.50,15427.25,15427.75,-6,22
2026-05-03T20:52:40+00:00,NQU1.CME@RITHMIC,15427.75,15428.00,15427.50,15427.50,-1,19
2026-05-03T20:52:45+00:00,NQU1.CME@RITHMIC,15427.25,15427.50,15427.25,15427.25,-1,5
2026-05-03T20:52:50+00:00,NQU1.CME@RITHMIC,15427.50,15428.25,15427.50,15428.25,-14,30
2026-05-03T20:52:55+00:00,NQU1.CME@RITHMIC,15428.25,15428.75,15428.25,15428.50,-10,26
2026-05-03T20:53:00+00:00,NQU1.CME@RITHMIC,15427.25,15428.50,15427.25,15428.50,1,1
2026-05-03T20:53:05+00:00,NQU1.CME@RITHMIC,15386.00,15428.50,15386.00,15428.25,21,39
2026-05-03T20:53:10+00:00,NQU1.CME@RITHMIC,15428.25,15428.50,15428.25,15428.50,2,14
2026-05-03T20:53:15+00:00,NQU1.CME@RITHMIC,15428.75,15429.50,15428.75,15429.25,-34,104
2026-05-03T20:53:20+00:00,NQU1.CME@RITHMIC,15429.00,15429.75,15429.00,15429.25,2,118
2026-05-03T20:53:25+00:00,NQU1.CME@RITHMIC,15429.25,15429.50,15429.00,15429.50,-15,35
2026-05-03T20:53:30+00:00,NQU1.CME@RITHMIC,15410.50,15429.75,15410.50,15429.75,4,92
2026-05-03T20:53:35+00:00,NQU1.CME@RITHMIC,15429.75,15430.00,15429.50,15429.50,10,66
2026-05-03T20:53:40+00:00,NQU1.CME@RITHMIC,15429.75,15429.75,15429.25,15429.50,16,30
2026-05-03T20:53:45+00:00,NQU1.CME@RITHMIC,15429.00,15429.50,15429.00,15429.25,6,46
2026-05-03T20:53:50+00:00,NQU1.CME@RITHMIC,15430.00,15430.00,15429.25,15429.75,-3,51
2026-05-03T20:53:55+00:00,NQU1.CME@RITHMIC,15429.50,15430.75,15429.50,15430.50,-33,93
2026-05-03T20:54:00+00:00,NQU1.CME@RITHMIC,15422.25,15430.75,15422.25,15430.50,-2,30
2026-05-03T20:54:05+00:00,NQU1.CME@RITHMIC,15430.25,15430.50,15430.25,15430.50,8,46
2026-05-03T20:54:10+00:00,NQU1.CME@RITHMIC,15430.50,15431.75,15430.50,15431.50,-48,82
2026-05-03T20:54:15+00:00,NQU1.CME@RITHMIC,15431.25,15431.75,15431.25,15431.25,5,25
2026-05-03T20:54:20+00:00,NQU1.CME@RITHMIC,15431.25,15431.75,15431.25,15431.75,-1,55
2026-05-03T20:54:25+00:00,NQU1.CME@RITHMIC,15434.25,15434.25,15431.50,15431.75,-19,57
2026-05-03T20:54:30+00:00,NQU1.CME@RITHMIC,15424.50,15432.00,15424.50,15431.50,-6,14
2026-05-03T20:54:35+00:00,NQU1.CME@RITHMIC,15432.00,15432.50,15431.25,15432.50,-40,80
2026-05-03T20:54:40+00:00,NQU1.CME@RITHMIC,15432.25,15432.75,15432.25,15432.75,-24,76
2026-05-03T20:54:45+00:00,NQU1.CME@RITHMIC,15432.75,15433.00,15432.00,15432.50,-7,103
2026-05-03T20:54:50+00:00,NQU1.CME@RITHMIC,15432.00,15432.75,15432.00,15432.25,-3,29
2026-05-03T20:54:55+00:00,NQU1.CME@RITHMIC,15432.25,15432.50,15432.25,15432.50,-3,35
2026-05-03T20:55:00+00:00,NQU1.CME@RITHMIC,15433.50,15433.50,15432.50,15432.75,-9,35
2026-05-03T20:55:05+00:00,NQU1.CME@RITHMIC,15432.75,15433.00,15432.50,15432.75,-13,47
2026-05-03T20:55:10+00:00,NQU1.CME@RITHMIC,15448.50,15448.50,15432.50,15432.50,1,67
2026-05-03T20:55:15+00:00,NQU1.CME@RITHMIC,15413.50,15433.00,15413.50,15432.25,3,35
2026-05-03T20:55:20+00:00,NQU1.CME@RITHMIC,15432.25,15433.00,15432.25,15432.75,6,52
2026-05-03T20:55:25+00:00,NQU1.CME@RITHMIC,15431.50,15433.50,15431.50,15433.50,-12,30
2026-05-03T20:55:30+00:00,NQU1.CME@RITHMIC,15433.25,15433.50,15433.25,15433.25,11,17
2026-05-03T20:55:35+00:00,NQU1.CME@RITHMIC,15433.75,15433.75,15433.00,15433.00,-13,63
2026-05-03T20:55:40+00:00,NQU1.CME@RITHMIC,15448.50,15448.50,15432.75,15433.00,-9,19
2026-05-03T20:55:45+00:00,NQU1.CME@RITHMIC,15432.50,15433.25,15432.50,15433.00,-17,39
2026-05-03T20:55:50+00:00,NQU1.CME@RITHMIC,15433.00,15433.25,15433.00,15433.00,2,36
2026-05-03T20:55:55+00:00,NQU1.CME@RITHMIC,15433.75,15433.75,15433.00,15433.00,8,32
2026-05-03T20:56:00+00:00,NQU1.CME@RITHMIC,15433.25,15433.25,15432.50,15432.50,11,39
2026-05-03T20:56:05+00:00,NQU1.CME@RITHMIC,15432.75,15432.75,15432.25,15432.25,4,20
2026-05-03T20:56:10+00:00,NQU1.CME@RITHMIC,15438.25,15438.25,15432.25,15432.50,-3,9
2026-05-03T20:56:15+00:00,NQU1.CME@RITHMIC,15432.50,15432.50,15432.25,15432.50,-2,24
2026-05-03T20:56:20+00:00,NQU1.CME@RITHMIC,15435.25,15435.25,15432.50,15432.50,9,35
2026-05-03T20:56:25+00:00,NQU1.CME@RITHMIC,15432.50,15432.50,15432.25,15432.50,-6,12
2026-05-03T20:56:30+00:00,NQU1.CME@RITHMIC,15417.00,15432.75,15417.00,15432.50,-4,16
2026-05-03T20:56:35+00:00,NQU1.CME@RITHMIC,15438.50,15438.50,15432.50,15433.00,1,31
2026-05-03T20:56:40+00:00,NQU1.CME@RITHMIC,15300.00,15433.00,15300.00,15433.00,0,26
2026-05-03T20:56:45+00:00,NQU1.CME@RITHMIC,15433.25,15433.50,15432.75,15433.00,-10,54
2026-05-03T20:56:50+00:00,NQU1.CME@RITHMIC,15433.25,15433.25,15433.25,15433.25,-4,18
2026-05-03T20:56:55+00:00,NQU1.CME@RITHMIC,15439.50,15439.50,15432.50,15432.50,6,38
2026-05-03T20:57:00+00:00,NQU1.CME@RITHMIC,15432.75,15432.75,15432.25,15432.50,-18,40
2026-05-03T20:57:05+00:00,NQU1.CME@RITHMIC,15425.75,15433.00,15425.75,15432.75,-4,28
2026-05-03T20:57:10+00:00,NQU1.CME@RITHMIC,15432.75,15433.50,15432.75,15433.50,-8,18
2026-05-03T20:57:15+00:00,NQU1.CME@RITHMIC,15433.25,15433.25,15431.50,15432.50,66,188
2026-05-03T20:57:20+00:00,NQU1.CME@RITHMIC,15432.25,15432.75,15432.25,15432.25,-11,25
2026-05-03T20:57:25+00:00,NQU1.CME@RITHMIC,15432.25,15432.75,15432.25,15432.50,-7,27
2026-05-03T20:57:30+00:00,NQU1.CME@RITHMIC,15432.75,15432.75,15432.00,15432.25,4,32
2026-05-03T20:57:35+00:00,NQU1.CME@RITHMIC,15438.75,15438.75,15432.00,15432.25,2,34
2026-05-03T20:57:40+00:00,NQU1.CME@RITHMIC,15453.50,15453.50,15432.00,15432.00,-2,38
2026-05-03T20:57:45+00:00,NQU1.CME@RITHMIC,15462.25,15462.25,15432.00,15432.25,-9,43
2026-05-03T20:57:50+00:00,NQU1.CME@RITHMIC,15432.25,15432.50,15431.75,15432.00,15,47
2026-05-03T20:57:55+00:00,NQU1.CME@RITHMIC,15431.50,15432.25,15431.50,15432.25,6,16
2026-05-03T20:58:00+00:00,NQU1.CME@RITHMIC,15437.50,15437.50,15431.75,15431.75,3,19
2026-05-03T20:58:05+00:00,NQU1.CME@RITHMIC,15431.75,15431.75,15431.50,15431.50,1,23
2026-05-03T20:58:10+00:00,NQU1.CME@RITHMIC,15431.75,15431.75,15431.50,15431.50,10,34
2026-05-03T20:58:15+00:00,NQU1.CME@RITHMIC,15438.50,15438.50,15430.75,15430.75,6,34
2026-05-03T20:58:20+00:00,NQU1.CME@RITHMIC,15431.00,15431.00,15430.50,15430.75,0,58
2026-05-03T20:58:25+00:00,NQU1.CME@RITHMIC,15437.75,15437.75,15429.00,15429.50,66,154
2026-05-03T20:58:30+00:00,NQU1.CME@RITHMIC,15430.25,15431.00,15429.25,15430.25,-21,151
2026-05-03T20:58:35+00:00,NQU1.CME@RITHMIC,15392.50,15430.75,15392.50,15430.50,-5,43
2026-05-03T20:58:40+00:00,NQU1.CME@RITHMIC,15431.00,15432.25,15430.75,15431.75,-14,86
2026-05-03T20:58:45+00:00,NQU1.CME@RITHMIC,15431.75,15431.75,15430.75,15431.25,-23,67
2026-05-03T20:58:50+00:00,NQU1.CME@RITHMIC,15431.75,15431.75,15430.50,15430.75,5,27
2026-05-03T20:58:55+00:00,NQU1.CME@RITHMIC,15431.00,15431.00,15429.75,15430.25,6,72
2026-05-03T20:59:00+00:00,NQU1.CME@RITHMIC,15430.50,15430.75,15429.75,15430.75,16,36
2026-05-03T20:59:05+00:00,NQU1.CME@RITHMIC,15430.50,15431.50,15430.50,15431.50,-2,10
2026-05-03T20:59:10+00:00,NQU1.CME@RITHMIC,15432.00,15432.00,15430.50,15430.50,23,25
2026-05-03T20:59:15+00:00,NQU1.CME@RITHMIC,15427.25,15431.00,15427.25,15430.75,-11,25
2026-05-03T20:59:20+00:00,NQU1.CME@RITHMIC,15431.25,15431.25,15431.00,15431.00,-1,15
2026-05-03T20:59:25+00:00,NQU1.CME@RITHMIC,15431.00,15431.00,15430.25,15430.75,-3,27
2026-05-03T20:59:30+00:00,NQU1.CME@RITHMIC,15459.00,15459.00,15430.75,15430.75,2,2
2026-05-03T20:59:35+00:00,NQU1.CME@RITHMIC,15430.75,15430.75,15430.75,15430.75,-5,17
2026-05-03T20:59:40+00:00,NQU1.CME@RITHMIC,15431.00,15431.50,15430.50,15431.00,-1,29
2026-05-03T20:59:45+00:00,NQU1.CME@RITHMIC,15433.75,15433.75,15430.25,15430.50,-2,24
2026-05-03T20:59:50+00:00,NQU1.CME@RITHMIC,15430.00,15430.75,15430.00,15430.75,0,16
2026-05-03T20:59:55+00:00,NQU1.CME@RITHMIC,15430.50,15430.50,15430.25,15430.50,0,22
2026-05-03T21:00:00+00:00,NQU1.CME@RITHMIC,15431.00,15431.00,15430.50,15430.50,-2,22
2026-05-03T21:00:05+00:00,NQU1.CME@RITHMIC,15426.00,15431.50,15426.00,15431.00,1,41
2026-05-03T21:00:10+00:00,NQU1.CME@RITHMIC,15431.00,15431.25,15430.50,15431.00,-12,48
2026-05-03T21:00:15+00:00,NQU1.CME@RITHMIC,15430.50,15431.25,15430.50,15431.25,-3,33
2026-05-03T21:00:20+00:00,NQU1.CME@RITHMIC,15423.00,15431.25,15423.00,15431.25,11,33
2026-05-03T21:00:25+00:00,NQU1.CME@RITHMIC,15431.50,15431.50,15431.00,15431.00,-6,20
2026-05-03T21:00:30+00:00,NQU1.CME@RITHMIC,15431.00,15431.00,15430.25,15430.50,17,37
2026-05-03T21:00:35+00:00,NQU1.CME@RITHMIC,15428.25,15430.50,15428.25,15430.50,-3,25
2026-05-03T21:00:40+00:00,NQU1.CME@RITHMIC,15430.50,15430.50,15430.00,15430.00,9,21
2026-05-03T21:00:45+00:00,NQU1.CME@RITHMIC,15429.75,15430.75,15429.75,15430.75,-16,20
2026-05-03T21:00:50+00:00,NQU1.CME@RITHMIC,15431.25,15431.25,15430.50,15430.50,6,32
2026-05-03T21:00:55+00:00,NQU1.CME@RITHMIC,15431.00,15431.00,15430.25,15430.25,-1,31
2026-05-03T21:01:00+00:00,NQU1.CME@RITHMIC,15430.25,15431.00,15430.00,15430.75,-8,28
2026-05-03T21:01:05+00:00,NQU1.CME@RITHMIC,15430.50,15430.75,15430.25,15430.50,11,35
2026-05-03T21:01:10+00:00,NQU1.CME@RITHMIC,15455.75,15455.75,15430.25,15430.50,6,18
2026-05-03T21:01:15+00:00,NQU1.CME@RITHMIC,15430.25,15431.25,15430.25,15430.75,1,35
2026-05-03T21:01:20+00:00,NQU1.CME@RITHMIC,15430.75,15430.75,15430.50,15430.75,4,18
2026-05-03T21:01:25+00:00,NQU1.CME@RITHMIC,15437.75,15437.75,15430.50,15430.50,-3,15
2026-05-03T21:01:30+00:00,NQU1.CME@RITHMIC,15426.75,15430.75,15426.75,15430.75,-2,20
2026-05-03T21:01:35+00:00,NQU1.CME@RITHMIC,15431.25,15431.25,15430.25,15431.25,-7,75
2026-05-03T21:01:40+00:00,NQU1.CME@RITHMIC,15431.50,15431.50,15430.75,15431.25,-14,52
2026-05-03T21:01:45+00:00,NQU1.CME@RITHMIC,15423.00,15432.25,15423.00,15432.00,-34,118
2026-05-03T21:01:50+00:00,NQU1.CME@RITHMIC,15432.00,15432.25,15431.75,15432.00,-4,44
2026-05-03T21:01:55+00:00,NQU1.CME@RITHMIC,15427.75,15432.75,15427.75,15432.75,-15,79
